id	citations	year
2096221680	10	2005
1575042678	12	1992
197216477	2	2014
2158811465	3	2014
2124121717	0	2011
2150759721	23	2009
1979077585	18	1981
2103236928	30	1980
1997782067	6	1980
1959270836	6	2014
2226257421	0	2002
2120534515	13	2002
2004655249	0	1996
2044253408	15	2006
1969043165	4	2010
2046676190	3	1952
2225480608	0	1997
190442484	15	1993
1998175745	0	1849
1985051738	0	2014
1928344692	57	1994
2040599330	3	2011
2245549874	0	1996
1976678147	47	2008
1538522028	1	2005
2089257701	0	1985
1560388255	3	1993
1995662506	23	1985
2247956463	0	2015
2243542628	0	2006
1554494622	0	1974
2010471677	0	2014
118328086	0	1977
2042121061	3	2014
2184928765	0	2011
2078644435	10	1994
164786201	1	1987
2063809311	13	2014
1261201596	0	2015
2094407121	61	1985
2002591367	0	2014
2241893828	1	1999
2164225246	2	1925
1501714886	87	2004
2110408436	0	1990
1975754270	10	2003
2028349418	1	1994
1544588962	55	1978
2050408154	87	1993
2009940649	44	1995
101096610	0	2014
